Layer Name,Average Gradient
conv_1_3x3,tensor(0.0003)
stage_1.0.conv_a,tensor(0.0001)
stage_1.0.conv_b,tensor(0.0004)
stage_1.1.conv_a,tensor(0.0001)
stage_1.1.conv_b,tensor(0.0002)
stage_1.2.conv_a,tensor(0.0004)
stage_1.2.conv_b,tensor(0.0002)
stage_2.0.conv_a,tensor(0.0001)
stage_2.0.conv_b,tensor(0.0001)
stage_2.1.conv_a,tensor(0.0002)
stage_2.1.conv_b,tensor(4.2402e-05)
stage_2.2.conv_a,tensor(0.0002)
stage_2.2.conv_b,tensor(8.1837e-05)
stage_3.0.conv_a,tensor(0.0001)
stage_3.0.conv_b,tensor(6.5995e-05)
stage_3.1.conv_a,tensor(7.9610e-05)
stage_3.1.conv_b,tensor(6.2163e-05)
stage_3.2.conv_a,tensor(0.0001)
stage_3.2.conv_b,tensor(7.3981e-05)
classifier,tensor(0.0017)
