Layer Name,Average Gradient
conv_1_3x3,tensor(0.0009)
stage_1.0.conv_a,tensor(0.0010)
stage_1.0.conv_b,tensor(0.0006)
stage_1.1.conv_a,tensor(0.0004)
stage_1.1.conv_b,tensor(0.0003)
stage_1.2.conv_a,tensor(0.0009)
stage_1.2.conv_b,tensor(0.0006)
stage_2.0.conv_a,tensor(0.0002)
stage_2.0.conv_b,tensor(0.0002)
stage_2.1.conv_a,tensor(0.0002)
stage_2.1.conv_b,tensor(8.1327e-05)
stage_2.2.conv_a,tensor(0.0002)
stage_2.2.conv_b,tensor(7.9509e-05)
stage_3.0.conv_a,tensor(9.3346e-05)
stage_3.0.conv_b,tensor(7.8072e-05)
stage_3.1.conv_a,tensor(6.7614e-05)
stage_3.1.conv_b,tensor(6.3588e-05)
stage_3.2.conv_a,tensor(7.8056e-05)
stage_3.2.conv_b,tensor(1.2446e-05)
classifier,tensor(0.0002)
