Layer Name,Average Gradient
conv_1_3x3,tensor(0.0062)
stage_1.0.conv_a,tensor(0.0037)
stage_1.0.conv_b,tensor(0.0033)
stage_1.1.conv_a,tensor(0.0014)
stage_1.1.conv_b,tensor(0.0022)
stage_1.2.conv_a,tensor(0.0071)
stage_1.2.conv_b,tensor(0.0051)
stage_2.0.conv_a,tensor(0.0029)
stage_2.0.conv_b,tensor(0.0028)
stage_2.1.conv_a,tensor(0.0027)
stage_2.1.conv_b,tensor(0.0016)
stage_2.2.conv_a,tensor(0.0026)
stage_2.2.conv_b,tensor(0.0017)
stage_3.0.conv_a,tensor(0.0012)
stage_3.0.conv_b,tensor(0.0013)
stage_3.1.conv_a,tensor(0.0009)
stage_3.1.conv_b,tensor(0.0009)
stage_3.2.conv_a,tensor(0.0019)
stage_3.2.conv_b,tensor(0.0006)
classifier,tensor(0.0078)
