Layer Name,Average Gradient
conv_1_3x3,tensor(0.0023)
stage_1.0.conv_a,tensor(0.0064)
stage_1.0.conv_b,tensor(0.0053)
stage_1.1.conv_a,tensor(0.0013)
stage_1.1.conv_b,tensor(0.0016)
stage_1.2.conv_a,tensor(0.0039)
stage_1.2.conv_b,tensor(0.0019)
stage_2.0.conv_a,tensor(0.0009)
stage_2.0.conv_b,tensor(0.0008)
stage_2.1.conv_a,tensor(0.0009)
stage_2.1.conv_b,tensor(0.0003)
stage_2.2.conv_a,tensor(0.0005)
stage_2.2.conv_b,tensor(0.0002)
stage_3.0.conv_a,tensor(0.0004)
stage_3.0.conv_b,tensor(0.0003)
stage_3.1.conv_a,tensor(0.0002)
stage_3.1.conv_b,tensor(0.0002)
stage_3.2.conv_a,tensor(0.0005)
stage_3.2.conv_b,tensor(6.6768e-05)
classifier,tensor(0.0007)
