Layer Name,Average Gradient
conv_1_3x3,tensor(0.0009)
stage_1.0.conv_a,tensor(0.0006)
stage_1.0.conv_b,tensor(0.0009)
stage_1.1.conv_a,tensor(0.0004)
stage_1.1.conv_b,tensor(0.0003)
stage_1.2.conv_a,tensor(0.0011)
stage_1.2.conv_b,tensor(0.0005)
stage_2.0.conv_a,tensor(0.0004)
stage_2.0.conv_b,tensor(0.0003)
stage_2.1.conv_a,tensor(0.0004)
stage_2.1.conv_b,tensor(0.0001)
stage_2.2.conv_a,tensor(0.0002)
stage_2.2.conv_b,tensor(0.0002)
stage_3.0.conv_a,tensor(0.0002)
stage_3.0.conv_b,tensor(0.0001)
stage_3.1.conv_a,tensor(9.5487e-05)
stage_3.1.conv_b,tensor(0.0001)
stage_3.2.conv_a,tensor(0.0002)
stage_3.2.conv_b,tensor(0.0002)
classifier,tensor(0.0024)
