Layer Name,Average Gradient
conv_1_3x3,tensor(0.0173)
stage_1.0.conv_a,tensor(0.0068)
stage_1.0.conv_b,tensor(0.0064)
stage_1.1.conv_a,tensor(0.0036)
stage_1.1.conv_b,tensor(0.0034)
stage_1.2.conv_a,tensor(0.0104)
stage_1.2.conv_b,tensor(0.0176)
stage_2.0.conv_a,tensor(0.0107)
stage_2.0.conv_b,tensor(0.0147)
stage_2.1.conv_a,tensor(0.0178)
stage_2.1.conv_b,tensor(0.0041)
stage_2.2.conv_a,tensor(0.0075)
stage_2.2.conv_b,tensor(0.0107)
stage_3.0.conv_a,tensor(0.0061)
stage_3.0.conv_b,tensor(0.0057)
stage_3.1.conv_a,tensor(0.0053)
stage_3.1.conv_b,tensor(0.0057)
stage_3.2.conv_a,tensor(0.0060)
stage_3.2.conv_b,tensor(0.0020)
classifier,tensor(0.0228)
