Layer Name,Average Gradient
conv_1_3x3,tensor(0.0118)
stage_1.0.conv_a,tensor(0.0061)
stage_1.0.conv_b,tensor(0.0056)
stage_1.1.conv_a,tensor(0.0020)
stage_1.1.conv_b,tensor(0.0034)
stage_1.2.conv_a,tensor(0.0081)
stage_1.2.conv_b,tensor(0.0150)
stage_2.0.conv_a,tensor(0.0070)
stage_2.0.conv_b,tensor(0.0074)
stage_2.1.conv_a,tensor(0.0098)
stage_2.1.conv_b,tensor(0.0034)
stage_2.2.conv_a,tensor(0.0049)
stage_2.2.conv_b,tensor(0.0051)
stage_3.0.conv_a,tensor(0.0034)
stage_3.0.conv_b,tensor(0.0032)
stage_3.1.conv_a,tensor(0.0024)
stage_3.1.conv_b,tensor(0.0027)
stage_3.2.conv_a,tensor(0.0030)
stage_3.2.conv_b,tensor(0.0011)
classifier,tensor(0.0147)
