Layer Name,Average Gradient
conv_1_3x3,tensor(0.0102)
stage_1.0.conv_a,tensor(0.0173)
stage_1.0.conv_b,tensor(0.0186)
stage_1.1.conv_a,tensor(0.0112)
stage_1.1.conv_b,tensor(0.0043)
stage_1.2.conv_a,tensor(0.0330)
stage_1.2.conv_b,tensor(0.0056)
stage_2.0.conv_a,tensor(0.0106)
stage_2.0.conv_b,tensor(0.0041)
stage_2.1.conv_a,tensor(0.0105)
stage_2.1.conv_b,tensor(0.0036)
stage_2.2.conv_a,tensor(0.0108)
stage_2.2.conv_b,tensor(0.0076)
stage_3.0.conv_a,tensor(0.0067)
stage_3.0.conv_b,tensor(0.0062)
stage_3.1.conv_a,tensor(0.0119)
stage_3.1.conv_b,tensor(0.0069)
stage_3.2.conv_a,tensor(0.0062)
stage_3.2.conv_b,tensor(0.0016)
classifier,tensor(0.0092)
