Layer Name,Average Gradient
conv_1_3x3,tensor(0.0198)
stage_1.0.conv_a,tensor(0.0079)
stage_1.0.conv_b,tensor(0.0089)
stage_1.1.conv_a,tensor(0.0038)
stage_1.1.conv_b,tensor(0.0055)
stage_1.2.conv_a,tensor(0.0126)
stage_1.2.conv_b,tensor(0.0140)
stage_2.0.conv_a,tensor(0.0087)
stage_2.0.conv_b,tensor(0.0114)
stage_2.1.conv_a,tensor(0.0130)
stage_2.1.conv_b,tensor(0.0032)
stage_2.2.conv_a,tensor(0.0059)
stage_2.2.conv_b,tensor(0.0077)
stage_3.0.conv_a,tensor(0.0046)
stage_3.0.conv_b,tensor(0.0046)
stage_3.1.conv_a,tensor(0.0034)
stage_3.1.conv_b,tensor(0.0041)
stage_3.2.conv_a,tensor(0.0046)
stage_3.2.conv_b,tensor(0.0017)
classifier,tensor(0.0198)
