Layer Name,Average Gradient
conv_1_3x3,tensor(0.0003)
stage_1.0.conv_a,tensor(0.0002)
stage_1.0.conv_b,tensor(0.0001)
stage_1.1.conv_a,tensor(7.9573e-05)
stage_1.1.conv_b,tensor(5.5620e-05)
stage_1.2.conv_a,tensor(0.0001)
stage_1.2.conv_b,tensor(8.0899e-05)
stage_2.0.conv_a,tensor(9.7132e-05)
stage_2.0.conv_b,tensor(5.2129e-05)
stage_2.1.conv_a,tensor(7.4815e-05)
stage_2.1.conv_b,tensor(2.3858e-05)
stage_2.2.conv_a,tensor(7.5331e-05)
stage_2.2.conv_b,tensor(2.6377e-05)
stage_3.0.conv_a,tensor(3.4961e-05)
stage_3.0.conv_b,tensor(3.0838e-05)
stage_3.1.conv_a,tensor(3.6050e-05)
stage_3.1.conv_b,tensor(2.6382e-05)
stage_3.2.conv_a,tensor(4.3940e-05)
stage_3.2.conv_b,tensor(6.7991e-06)
classifier,tensor(7.4153e-05)
