Layer Name,Average Gradient
conv_1_3x3,tensor(0.0045)
stage_1.0.conv_a,tensor(0.0025)
stage_1.0.conv_b,tensor(0.0027)
stage_1.1.conv_a,tensor(0.0013)
stage_1.1.conv_b,tensor(0.0017)
stage_1.2.conv_a,tensor(0.0071)
stage_1.2.conv_b,tensor(0.0032)
stage_2.0.conv_a,tensor(0.0019)
stage_2.0.conv_b,tensor(0.0019)
stage_2.1.conv_a,tensor(0.0014)
stage_2.1.conv_b,tensor(0.0007)
stage_2.2.conv_a,tensor(0.0014)
stage_2.2.conv_b,tensor(0.0008)
stage_3.0.conv_a,tensor(0.0006)
stage_3.0.conv_b,tensor(0.0007)
stage_3.1.conv_a,tensor(0.0005)
stage_3.1.conv_b,tensor(0.0005)
stage_3.2.conv_a,tensor(0.0010)
stage_3.2.conv_b,tensor(0.0004)
classifier,tensor(0.0051)
