Layer Name,Average Gradient
conv_1_3x3,tensor(0.0064)
stage_1.0.conv_a,tensor(0.0032)
stage_1.0.conv_b,tensor(0.0027)
stage_1.1.conv_a,tensor(0.0012)
stage_1.1.conv_b,tensor(0.0019)
stage_1.2.conv_a,tensor(0.0050)
stage_1.2.conv_b,tensor(0.0050)
stage_2.0.conv_a,tensor(0.0033)
stage_2.0.conv_b,tensor(0.0027)
stage_2.1.conv_a,tensor(0.0035)
stage_2.1.conv_b,tensor(0.0022)
stage_2.2.conv_a,tensor(0.0034)
stage_2.2.conv_b,tensor(0.0025)
stage_3.0.conv_a,tensor(0.0019)
stage_3.0.conv_b,tensor(0.0015)
stage_3.1.conv_a,tensor(0.0017)
stage_3.1.conv_b,tensor(0.0013)
stage_3.2.conv_a,tensor(0.0032)
stage_3.2.conv_b,tensor(0.0008)
classifier,tensor(0.0086)
