Layer Name,Average Gradient
conv_1_3x3,tensor(0.0041)
stage_1.0.conv_a,tensor(0.0185)
stage_1.0.conv_b,tensor(0.0103)
stage_1.1.conv_a,tensor(0.0037)
stage_1.1.conv_b,tensor(0.0032)
stage_1.2.conv_a,tensor(0.0085)
stage_1.2.conv_b,tensor(0.0040)
stage_2.0.conv_a,tensor(0.0039)
stage_2.0.conv_b,tensor(0.0020)
stage_2.1.conv_a,tensor(0.0034)
stage_2.1.conv_b,tensor(0.0007)
stage_2.2.conv_a,tensor(0.0019)
stage_2.2.conv_b,tensor(0.0009)
stage_3.0.conv_a,tensor(0.0015)
stage_3.0.conv_b,tensor(0.0009)
stage_3.1.conv_a,tensor(0.0015)
stage_3.1.conv_b,tensor(0.0012)
stage_3.2.conv_a,tensor(0.0011)
stage_3.2.conv_b,tensor(0.0003)
classifier,tensor(0.0024)
