Layer Name,Average Gradient
conv_1_3x3,tensor(0.0005)
stage_1.0.conv_a,tensor(0.0003)
stage_1.0.conv_b,tensor(0.0005)
stage_1.1.conv_a,tensor(0.0002)
stage_1.1.conv_b,tensor(0.0002)
stage_1.2.conv_a,tensor(0.0006)
stage_1.2.conv_b,tensor(0.0003)
stage_2.0.conv_a,tensor(0.0002)
stage_2.0.conv_b,tensor(0.0002)
stage_2.1.conv_a,tensor(0.0003)
stage_2.1.conv_b,tensor(6.5541e-05)
stage_2.2.conv_a,tensor(0.0002)
stage_2.2.conv_b,tensor(0.0001)
stage_3.0.conv_a,tensor(0.0001)
stage_3.0.conv_b,tensor(9.5532e-05)
stage_3.1.conv_a,tensor(9.3717e-05)
stage_3.1.conv_b,tensor(9.3707e-05)
stage_3.2.conv_a,tensor(0.0001)
stage_3.2.conv_b,tensor(0.0001)
classifier,tensor(0.0020)
