Layer Name,Average Gradient
conv_1_3x3,tensor(0.0003)
stage_1.0.conv_a,tensor(0.0001)
stage_1.0.conv_b,tensor(0.0003)
stage_1.1.conv_a,tensor(7.2141e-05)
stage_1.1.conv_b,tensor(0.0002)
stage_1.2.conv_a,tensor(0.0003)
stage_1.2.conv_b,tensor(0.0002)
stage_2.0.conv_a,tensor(8.4936e-05)
stage_2.0.conv_b,tensor(0.0001)
stage_2.1.conv_a,tensor(0.0001)
stage_2.1.conv_b,tensor(3.7722e-05)
stage_2.2.conv_a,tensor(0.0001)
stage_2.2.conv_b,tensor(6.8389e-05)
stage_3.0.conv_a,tensor(8.3663e-05)
stage_3.0.conv_b,tensor(5.4471e-05)
stage_3.1.conv_a,tensor(6.1396e-05)
stage_3.1.conv_b,tensor(4.4792e-05)
stage_3.2.conv_a,tensor(7.4094e-05)
stage_3.2.conv_b,tensor(4.6080e-05)
classifier,tensor(0.0010)
