Layer Name,Average Gradient
conv_1_3x3,tensor(0.0007)
stage_1.0.conv_a,tensor(0.0004)
stage_1.0.conv_b,tensor(0.0006)
stage_1.1.conv_a,tensor(0.0003)
stage_1.1.conv_b,tensor(0.0002)
stage_1.2.conv_a,tensor(0.0010)
stage_1.2.conv_b,tensor(0.0003)
stage_2.0.conv_a,tensor(0.0003)
stage_2.0.conv_b,tensor(0.0002)
stage_2.1.conv_a,tensor(0.0003)
stage_2.1.conv_b,tensor(7.9692e-05)
stage_2.2.conv_a,tensor(0.0002)
stage_2.2.conv_b,tensor(0.0001)
stage_3.0.conv_a,tensor(0.0001)
stage_3.0.conv_b,tensor(0.0001)
stage_3.1.conv_a,tensor(6.5175e-05)
stage_3.1.conv_b,tensor(0.0001)
stage_3.2.conv_a,tensor(0.0001)
stage_3.2.conv_b,tensor(0.0002)
classifier,tensor(0.0021)
