Layer Name,Average Gradient
conv_1_3x3,tensor(0.0099)
stage_1.0.conv_a,tensor(0.0239)
stage_1.0.conv_b,tensor(0.0195)
stage_1.1.conv_a,tensor(0.0177)
stage_1.1.conv_b,tensor(0.0049)
stage_1.2.conv_a,tensor(0.0218)
stage_1.2.conv_b,tensor(0.0059)
stage_2.0.conv_a,tensor(0.0091)
stage_2.0.conv_b,tensor(0.0036)
stage_2.1.conv_a,tensor(0.0074)
stage_2.1.conv_b,tensor(0.0019)
stage_2.2.conv_a,tensor(0.0055)
stage_2.2.conv_b,tensor(0.0038)
stage_3.0.conv_a,tensor(0.0046)
stage_3.0.conv_b,tensor(0.0031)
stage_3.1.conv_a,tensor(0.0061)
stage_3.1.conv_b,tensor(0.0045)
stage_3.2.conv_a,tensor(0.0034)
stage_3.2.conv_b,tensor(0.0011)
classifier,tensor(0.0065)
